match_number,team1,team2,team1_total_experience,team2_total_experience,team1_average_experience,team2_average_experience,experience_difference,winner,winner_experience_status
1,Sunrisers Hyderabad,Royal Challengers Bengaluru,565,898,47.08,74.83,27.75,Royal Challengers Bengaluru,Winner had MORE experience
2,Kolkata Knight Riders,Mumbai Indians,671,1110,55.92,92.5,36.58,Mumbai Indians,Winner had MORE experience
3,Chennai Super Kings,Rajasthan Royals,517,1001,43.08,83.42,40.33,Rajasthan Royals,Winner had MORE experience
4,Gujarat Titans,Punjab Kings,910,706,75.83,58.83,17.0,Punjab Kings,Winner had LESS experience
5,Lucknow Super Giants,Delhi Capitals,701,840,58.42,70.0,11.58,Delhi Capitals,Winner had MORE experience
6,Sunrisers Hyderabad,Kolkata Knight Riders,458,683,38.17,56.92,18.75,Sunrisers Hyderabad,Winner had LESS experience
7,Chennai Super Kings,Punjab Kings,597,718,49.75,59.83,10.08,Punjab Kings,Winner had MORE experience
8,Mumbai Indians,Delhi Capitals,977,852,81.42,71.0,10.42,Delhi Capitals,Winner had LESS experience
9,Rajasthan Royals,Gujarat Titans,865,807,72.08,67.25,4.83,Rajasthan Royals,Winner had MORE experience
10,Sunrisers Hyderabad,Lucknow Super Giants,634,673,52.83,56.08,3.25,Lucknow Super Giants,Winner had MORE experience
11,Royal Challengers Bengaluru,Chennai Super Kings,910,533,75.83,44.42,31.42,Royal Challengers Bengaluru,Winner had MORE experience
12,Kolkata Knight Riders,Punjab Kings,703,739,58.58,61.58,3.0,No Result,N/A
13,Rajasthan Royals,Mumbai Indians,877,1188,73.08,99.0,25.92,Rajasthan Royals,Winner had LESS experience
14,Gujarat Titans,Delhi Capitals,933,864,77.75,72.0,5.75,Gujarat Titans,Winner had MORE experience
15,Kolkata Knight Riders,Lucknow Super Giants,678,685,56.5,57.08,0.58,Lucknow Super Giants,Winner had MORE experience
16,Royal Challengers Bengaluru,Rajasthan Royals,991,842,82.58,70.17,12.42,Rajasthan Royals,Winner had LESS experience
17,Sunrisers Hyderabad,Punjab Kings,598,741,49.83,61.75,11.92,Punjab Kings,Winner had MORE experience
18,Chennai Super Kings,Delhi Capitals,548,762,45.67,63.5,17.83,Chennai Super Kings,Winner had LESS experience
19,Lucknow Super Giants,Gujarat Titans,690,945,57.5,78.75,21.25,Gujarat Titans,Winner had MORE experience
20,Royal Challengers Bengaluru,Mumbai Indians,942,1172,78.5,97.67,19.17,Royal Challengers Bengaluru,Winner had LESS experience
21,Sunrisers Hyderabad,Rajasthan Royals,373,810,31.08,67.5,36.42,Sunrisers Hyderabad,Winner had LESS experience
22,Chennai Super Kings,Kolkata Knight Riders,560,742,46.67,61.83,15.17,Chennai Super Kings,Winner had LESS experience
23,Lucknow Super Giants,Royal Challengers Bengaluru,702,991,58.5,82.58,24.08,Royal Challengers Bengaluru,Winner had MORE experience
24,Mumbai Indians,Punjab Kings,927,742,77.25,61.83,15.42,Punjab Kings,Winner had LESS experience
25,Kolkata Knight Riders,Gujarat Titans,752,957,62.67,79.75,17.08,Gujarat Titans,Winner had MORE experience
26,Royal Challengers Bengaluru,Delhi Capitals,1003,833,83.58,69.42,14.17,Delhi Capitals,Winner had LESS experience
27,Sunrisers Hyderabad,Chennai Super Kings,427,516,35.58,43.0,7.42,Sunrisers Hyderabad,Winner had LESS experience
28,Rajasthan Royals,Kolkata Knight Riders,723,764,60.25,63.67,3.42,Kolkata Knight Riders,Winner had MORE experience
29,Punjab Kings,Lucknow Super Giants,764,662,63.67,55.17,8.5,Punjab Kings,Winner had MORE experience
30,Mumbai Indians,Gujarat Titans,750,969,62.5,80.75,18.25,Mumbai Indians,Winner had LESS experience
31,Sunrisers Hyderabad,Delhi Capitals,394,904,32.83,75.33,42.5,Sunrisers Hyderabad,Winner had LESS experience
32,Rajasthan Royals,Lucknow Super Giants,747,609,62.25,50.75,11.5,Rajasthan Royals,Winner had MORE experience
33,Chennai Super Kings,Mumbai Indians,513,721,42.75,60.08,17.33,Chennai Super Kings,Winner had LESS experience
34,Gujarat Titans,Royal Challengers Bengaluru,1008,977,84.0,81.42,2.58,Royal Challengers Bengaluru,Winner had LESS experience
35,Delhi Capitals,Punjab Kings,871,776,72.58,64.67,7.92,Punjab Kings,Winner had LESS experience
36,Rajasthan Royals,Sunrisers Hyderabad,794,470,66.17,39.17,27.0,Sunrisers Hyderabad,Winner had LESS experience
37,Chennai Super Kings,Gujarat Titans,510,867,42.5,72.25,29.75,Gujarat Titans,Winner had MORE experience
